Class No - Name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENDOR_NAME,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line No - Name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,STORE_NO_NAME,SITE_NO,VOLUME_BAND,SIZE_BAND,Sum of Sales $ LW,Sum of Sales $ LW LY,Sum of Margin $ LW,Sum of Margin $ LW LY,Sum of Receipt $ LW,Sum of Receipt $ LW LY,Sum of Sales $ QTD,Sum of Sales $ QTD LY,Sum of Margin $ QTD,Sum of Margin $ QTD LY,Sum of Receipt $ QTD,Sum of Receipt $ QTD LY,Sum of Sales $ YTD,Sum of Sales $ YTD LY,Sum of Margin $ YTD,Sum of Margin $ YTD LY,Sum of Receipt $ YTD,Sum of Receipt $ YTD LY,Sum of Total Inv LW TY,Sum of Total Inv LW LY,Sum of IN-Tran LW TY,Sum of In-Tran LW LY,Sum of Allocated LW TY,Sum of Allocated LW LY,Sum of SKU Count,Sum of In-Stock Stores
(blank),802 - Ecommerce,802,Greater than 18M,Greater than 60K,"$138,583","$161,489","$49,416","$61,308",$0,$0,"$138,583","$161,489","$49,416","$61,308",$0,$0,"$1,468,199","$1,392,735","$448,251","$492,458",$0,$0,"$1,031,307","$1,156,191",$0,$0,$0,$0,"$2,877","$1,527"
Alaska,121 - Anchorage,121,15M-18M,50K-60K,"$61,200","$53,592","$24,278","$23,159",$532,"$1,237","$61,200","$53,592","$24,278","$23,159",$532,"$1,237","$476,260","$521,678","$190,584","$208,214","$15,493","$59,984","$1,116,888","$1,319,042","$44,699","$74,174","$61,031","$1,861","$2,721","$2,416"
Alaska,145 - Fairbanks,145,12M-15M,40K-50K,"$74,564","$80,970","$30,635","$35,713",$367,$0,"$74,564","$80,970","$30,635","$35,713",$367,$0,"$634,395","$672,893","$255,269","$275,002","$40,006","$34,992","$1,181,654","$1,448,332","$69,973","$172,368","$65,910","$2,493","$2,751","$2,383"
Alaska,159 - Wasilla,159,Greater than 18M,50K-60K,"$96,954","$106,932","$38,440","$46,968",$0,$610,"$96,954","$106,932","$38,440","$46,968",$0,$610,"$771,963","$866,648","$310,975","$346,823","$39,861","$64,495","$1,392,823","$1,507,288","$101,501","$101,991","$72,371","$2,205","$2,827","$2,415"
Alaska,212 - Soldotna,212,9M-12M,40K-50K,"$41,380","$64,999","$17,419","$30,655",$158,$804,"$41,380","$64,999","$17,419","$30,655",$158,$804,"$365,806","$472,366","$151,413","$195,408","$35,872","$49,759","$1,007,620","$1,040,274","$62,121","$57,769","$50,357","$1,439","$2,724","$2,340"
Alaska,248 - Juneau,248,6M-9M,20K-30K,"$25,882","$23,620","$12,410","$11,308",$580,$194,"$25,882","$23,620","$12,410","$11,308",$580,$194,"$211,675","$228,605","$99,094","$101,542","$2,676","$3,737","$365,068","$466,465","$38,280","$74,399",$0,$749,"$2,302","$1,971"
Rocky Mtn,102 - Provo,102,12M-15M,40K-50K,"$37,172","$37,266","$15,200","$16,291","$1,191","$1,107","$37,172","$37,266","$15,200","$16,291","$1,191","$1,107","$372,120","$424,595","$151,046","$172,234","$6,296","$7,689","$696,651","$697,158",$0,"$1,031","$4,073","$1,081","$2,663","$2,352"
Rocky Mtn,103 - Riverdale,103,12M-15M,40K-50K,"$40,080","$44,909","$16,130","$18,455",$0,$385,"$40,080","$44,909","$16,130","$18,455",$0,$385,"$355,348","$409,368","$144,602","$170,522","$3,239","$14,365","$626,496","$613,944",$0,$0,"$9,770","$6,792","$2,678","$2,364"
Rocky Mtn,104 - Meridian,104,12M-15M,40K-50K,"$28,630","$29,673","$13,749","$12,000",$814,$0,"$28,630","$29,673","$13,749","$12,000",$814,$0,"$246,825","$291,418","$104,533","$120,918","$3,744","$7,452","$538,359","$571,106",$0,$862,"$2,442","$3,054","$2,545","$2,294"
Rocky Mtn,105 - ID Falls,105,9M-12M,40K-50K,"$29,925","$33,284","$13,175","$14,199","$1,995",$0,"$29,925","$33,284","$13,175","$14,199","$1,995",$0,"$273,327","$330,878","$112,006","$134,121","$12,636","$11,678","$557,837","$535,899","$11,795","$13,139","$4,552","$2,090","$2,609","$2,319"
Rocky Mtn,106 - Loveland,106,6M-9M,40K-50K,"$12,448","$17,007","$5,535","$7,966",$0,$0,"$12,448","$17,007","$5,535","$7,966",$0,$0,"$142,171","$179,411","$62,827","$75,658","$3,976","$4,938","$326,638","$369,885","$3,316",$0,"$3,701","$3,584","$2,317","$2,125"
Rocky Mtn,108 - Grand Jctn,108,6M-9M,40K-50K,"$25,078","$28,575","$10,860","$12,778",$0,$439,"$25,078","$28,575","$10,860","$12,778",$0,$439,"$258,545","$296,644","$110,403","$126,561","$3,927","$4,501","$487,689","$453,845","$11,195",$0,"$7,341","$5,797","$2,548","$2,250"
Rocky Mtn,114 - Midvale,114,12M-15M,50K-60K,"$28,769","$40,112","$11,552","$17,540","$1,280","$1,595","$28,769","$40,112","$11,552","$17,540","$1,280","$1,595","$478,633","$540,995","$170,826","$205,014","$43,803","$24,544","$764,700","$789,648",$0,$0,"$48,067","$7,169","$2,665","$2,341"
Rocky Mtn,118 - Twin Falls,118,9M-12M,40K-50K,"$26,143","$33,071","$11,658","$15,245",$160,"$2,113","$26,143","$33,071","$11,658","$15,245",$160,"$2,113","$320,532","$388,874","$134,554","$163,998","$8,102","$10,289","$607,971","$585,166",$0,"$1,161","$7,496","$5,289","$2,634","$2,317"
Rocky Mtn,119 - Thornton,119,6M-9M,40K-50K,"$16,058","$17,503","$7,013","$7,722",$0,"$2,999","$16,058","$17,503","$7,013","$7,722",$0,"$2,999","$176,559","$222,044","$74,964","$92,582","$3,561","$8,814","$359,254","$405,597",$0,$0,"$7,793","$3,523","$2,452","$2,199"
Rocky Mtn,137 - Casper,137,6M-9M,40K-50K,"$19,193","$25,125","$8,689","$11,737",$0,$0,"$19,193","$25,125","$8,689","$11,737",$0,$0,"$222,170","$246,525","$96,371","$106,938","$2,869","$7,756","$451,957","$450,187","$10,761",$0,"$3,608","$3,611","$2,561","$2,271"
Rocky Mtn,138 - CO Springs,138,6M-9M,50K-60K,"$15,327","$13,640","$6,531","$6,251",$159,$0,"$15,327","$13,640","$6,531","$6,251",$159,$0,"$146,669","$176,537","$63,253","$75,758","$3,304","$6,723","$313,392","$365,106",$0,"$7,192","$3,923","$3,238","$2,368","$2,126"
Rocky Mtn,178 - Cedar City,178,6M-9M,Less than 20K,"$21,882","$19,868","$9,316","$9,061","$2,165",$0,"$21,882","$19,868","$9,316","$9,061","$2,165",$0,"$233,804","$240,877","$98,148","$104,329","$5,720","$5,340","$335,766","$284,896",$0,$0,"$6,665","$4,772","$2,084","$1,837"
Rocky Mtn,182 - Pueblo,182,Less than 6M,Less than 20K,"$13,098","$13,756","$5,880","$6,248",$0,$0,"$13,098","$13,756","$5,880","$6,248",$0,$0,"$130,525","$156,764","$57,960","$66,543","$2,657","$7,464","$195,851","$213,662","$5,325","$2,312","$4,223","$2,426","$1,976","$1,746"
Rocky Mtn,188 - Spokane Valley,188,6M-9M,30K-40K,"$10,057","$21,282","$4,676","$8,897",$0,$507,"$10,057","$21,282","$4,676","$8,897",$0,$507,"$125,852","$183,115","$54,547","$78,238","$3,386","$5,911","$295,276","$324,256","$6,774","$9,255","$5,452",$196,"$2,317","$2,086"
Rocky Mtn,190 - Sheridan WY,190,Less than 6M,Less than 20K,"$8,921","$12,485","$3,583","$5,723",$0,$0,"$8,921","$12,485","$3,583","$5,723",$0,$0,"$90,644","$113,028","$36,881","$47,441","$1,228","$1,956","$181,511","$227,478","$5,497",$0,"$1,084","$1,751","$1,845","$1,654"
Rocky Mtn,201 - Missoula,201,6M-9M,40K-50K,"$20,654","$20,283","$9,027","$8,893","$1,374",$496,"$20,654","$20,283","$9,027","$8,893","$1,374",$496,"$199,588","$218,350","$82,818","$91,816","$12,284","$4,490","$412,113","$455,504","$9,068",$0,"$4,492","$4,158","$2,428","$2,172"
